"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"11","청양사랑인재육성장학회","명문대입학장학금","지자체","장학금","지역연고","특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","명문대 입학한 자수능합 7등급 이내인자 ","해당없음","관내 중·고 졸업생: 10000000원관내 고교 졸업생: 5000000원","군내 중학교와 고등학교를 졸업하고 명문대에 입학한 자* 명문대 범위 : 서울대고려대연세대카이스트포항공대치의한의대수능합 7등급 이내인 자(고려대 연세대는 지방캠퍼스 제외)","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","00명","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음 * 자세한 사항은 첨부파일 혹은 홈페이지 공고 참고","해당없음","장학금지원신청서개인정보동의서중학교 졸업증명서고등학교 졸업증명서재학증명서주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2024-03-04","2024-03-29"
"12","청양사랑인재육성장학회","충남도립대입학장학금","지자체","장학금","지역연고","특정대학","대학신입생/연령제한","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","충남도립대학교 입학생","해당없음","1000000원 (생활비)","관내 중학교와 고등학교를 졸업하고 충남도립대학교에 입학한 자공고일 현재 만 25세 이하","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음공고일 현재 만 25세 이상인 자 제외","해당없음","장학금지원신청서개인정보동의서중학교 졸업증명서고등학교 졸업증명서재학증명서주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2024-03-04","2024-03-29"
"13","청양사랑인재육성장학회","성적우수장학금(대학교신입생)","지자체","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","군내 고등학교 123학년을 재학하고 졸업한자 중 직전학년 과목별 성적이 등급점수 4등급 이내인 자고교학점제 시행의 경우 직전 학년 보통교과 상위성적 10% 이내이며 진로선택과목 성취도 평균 'B' 이상인 자","해당없음","1500000원 (등록금)","군내 고등학교 123학년을 재학하고 졸업한 자대학교 신입생","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서고등학교 졸업증명서군내 고등학교 재학증명서재학증명서성적증명서(직전학년)주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2024-03-04","2024-03-29"
"14","청양사랑인재육성장학회","성적우수장학금(군내대학재학생)","지자체","장학금","지역연고","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학년 평점이 3.0 이상인자 (4.5점 만점기준)","해당없음","1500000원 (등록금)","군내 대학 재학생군내고교 123학년 모두 재학 후 졸업한자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발.","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서고등학교 졸업증명서군내 고등학교 재학증명서재학증명서성적증명서(직전학년)주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2024-03-04","2024-03-29"
"15","청양사랑인재육성장학회","성적우수장학금(군외대학재학생)","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학년 평점이 3.5 이상인자.(4.5점 만점기준)","해당없음","1500000원 (등록금)","군내 고등학교 123학년 모두 재학 후 졸업한 자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서고등학교 졸업증명서군내 고등학교 재학증명서재학증명서성적증명서(직전학년)주민등록초본(주소이력포함) * 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2024-03-04","2024-03-29"
"16","청양사랑인재육성장학회","예체능장학금","지자체","장학금","특기자","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학년 예 체능부문 성적이 전국규모대회에서 3위 이상 입상한 자와 체육부문은 도 대회 1위 입상한 자","해당없음","1500000원 (생활비)","군내 초 중 고 대학 재학생 및 군내 초등학교나 중학교 또는 고등학교를 졸업한 군외중 고 대학생","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자","재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음","장학금지원신청서개인정보동의서재학증명서입상증명서류(직전학년)주민등록초본(주소이력포함)졸업증명서(군내 초·중·고 중 1개 군외 대학생 해당) * 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2024-03-04","2024-03-29"
"17","봉평태기장학회","일반장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 재학생은 前학기 평균성적이 90점(백분율 환산점수) 이상대학교 신입생은 수학능력점수 90점(백분율 환산점수) 이상","해당없음","전문대 : 1000000원국·사립대 : 1500000원 내외","2023년 12월 02일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생·신입생","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자.단 본적이 타 지역인 자는 5년 이상 거주","예산범위내 성적순 선발 장학이사회 심의 후 개별통보 예정","해당없음","학자금 면제자 타장학금 일백만원 이상 수혜대상 확정자","해당없음","장학생 지원서 (소정양식 봉평면사무소 비치) (반명함사진)성적증명서 (학교장발행)장학금 미수혜확인서 (학교장 발행)가족관계등록부 주미등록 등·초본 각 1부 * 봉평면사무소 총무과 제출 * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
"18","봉평태기장학회","향토장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 재학생은 前학기 성적이 85점(백분율 환산점수) 이상대학교 신입생은 수학능력점수 85점(백분율 환산점수) 이상","차상위계층·수급자 우선가정형편이 어려운 학생 * 보호자의 재산세(재산세 도시계획세 소방공동시설세 지방교육세) 세액 10000원 미만 및 종합토지세 5000원 이하","전문대 : 1000000원국·사립대 : 1500000원 내외","2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생·신입생","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자.단 본적이 타 지역인 자는 5년 이상 거주","예산범위내 성적순 선발 장학이사회 심의후 개별통보예정","해당없음","학자금 면제자타장학금 100만원 이상 수혜대상 확정자","해당없음","장학생 지원서 (소정양식 봉평면사무소 비치) (반명함사진)성적증명서(학교장발행)장학금 (미)수혜 확인서 (학교장발행)보호자의 지방세과세증명서가족관계등록부 주민등록 등·초본 각 1부(주소이력 공개) * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고","http://www.pc.go.kr/","2023-12-02","2023-12-11"
"19","양양군인재육성장학회","특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음"," * 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써 중복지원 범위에서 제외","국내 대학에 진학한 자품행이 방정하여 타에 모범이 되나 가정이 극히 빈곤하여 학업을 계속하기 어려운 자로서 이사회에서 특별이 인정하는 자","양양군에 주소를 두고 2년 이상 실제 거주하고 있는 주민 또는 그의 자녀 ","해당없음","이사회에서 결정","공무원 회사원 등 직업소유자원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생 신청서 1부.재학증명서(신입생은 합격증명서) 1부.성적증명서 1부.주민등록등본 (주소변동사항 포함) 1부.세목별 과제증명서 1부.전/월세 계약서(해당자만 제출)1부.국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고*접수처 : 양양군인재육성장학회 및 읍면사무소","http://www.yysc.or.kr","2024-01-15","2024-02-16"
"20","양양군인재육성장학회","우등장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 20이내 또는 대학수학능력시험 3개영역 언어 수리 외국어 종합등급 2등급 이내인 자재학생 : 직전학기 평점이 B학점 이상","해당없음"," * 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써 중복지원 범위에서 제외","해당없음","관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생양양군 관내 고등학교에 재학중인 학생과 양양군에 주소를 두고 2년 이상 실제 거주하고 있는 주민 또는 그 주민의 자녀","해당없음","이사회에서 결정","원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학공무원 회사원 등 직업소유자  ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생 신청서 1부.재학증명서(신입생은 합격증명서) 1부.졸업증명서(양양군 관내 중 고등학교 졸업증명서) 1부.주민등록등본 (주소변동사항 포함) 1부.성적증명서 (재학생은 직전학년 신입생은 고등학교 3학년 성적증명서) 1부.세목별 과세 증명서전/월세 계약서(해당자만 제출)1부.국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류*접수처 : 양양군인재육성장학회 및 읍면사무소 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2024-01-15","2024-02-16"
"21","양양군인재육성장학회","유공및저소득층자녀장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 30이내 또는 대학수학능력시럼 3개영역 언어 수리 외국어 종합등급 3등급이내인 자재학생 : 평점 평균이 C학점 이상","국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀"," * (재)양양군인재육성장학회에서 지급하는 장학금은 ‘생활비’ 지원명목의 장학금으로써 이중지원 범위에서 제외됨을 알려드립니다.","국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀","관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생","해당없음","이사회에서 결정","원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학공무원 회사원 등 직업소유자 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생 신청서 1부.재학증명서(신입생은 합격증명서) 1부.졸업증명서(양양군 관내 중 고등학교 졸업증명서) 1부.주민등록등본 (주소변동사항 포함) 1부.성적증명서 (재학생은 직전학년 신입생은 고등학교 3학년 성적증명서) 1부.재산세 과세 미과세 증명서 1부.전/월세 계약서(해당자만 제출)1부.국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류 * 접수처 : 양양군인재육성장학회 및 읍면사무소 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2024-01-15","2024-02-16"
