"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"11","양양군인재육성장학회","우등장학생","민간(기타)","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","직전학년 재학중의 성적이 재적학년 정원의 100분의 20이내","해당없음","이사회에서 결정하여 1년간 지급","해당없음","관내 고등학교에 진학한 학생양양군에 주소를 2년 이상 둔 주민 또는 그 주민의 자녀","해당없음","해당없음","해당없음","해당없음","장학생 신청서재학증명서(신입생은 합격증명서)주민등록등본 (주소변동사항 포함)성적증명서 (재학생은 직전학년 신입생은 중등 3학년 성적증명서)세목별 과세 증명서보호자 전/월세 계약서(해당자)국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2024-01-15","2024-02-16"
"12","양양군인재육성장학회","유공및저소득층자녀장학생","민간(기타)","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","입학 또는 직전학년 재학중의 성적이 재적학년 정원의 100분의 30이내","해당없음","이사회에서 결정하여 1년간 지급","국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀","양양군 관내 고등학교에 진학한 학생양양군에 주소를 2년 이상 둔 주민 또는 그 주민의 자녀","해당없음","해당없음","해당없음","해당없음","장학생 신청서재학증명서(신입생은 합격증명서)주민등록등본 (주소변동사항 포함)성적증명서 (재학생은 직전학년 신입생은 중등 3학년 성적증명서) 1부세목별 과세 증명서보호자 전/월세 계약서(해당자)국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2024-01-15","2024-02-16"
"13","양양군인재육성장학회","특기장학생","민간(기타)","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","이사회에서 결정하여 1년간 지급","예능 체육 기능에 소질과 재능이 뛰어난 학생으로 신청일 기준 1년 이내에 도 주관이상의 대회에서 입상하여 지역의 명예를 드높인 학생","양양군 관내 고등학교에 진학한 학생양양군에 주소를 2년 이상 둔 주민 또는 그 주민의 자녀","해당없음","해당없음","해당없음","해당없음","장학생 신청서재학증명서(신입생은 합격증명서)주민등록등본 (주소변동사항 포함)입상증명서 1부성적증명서 (재학생은 직전학년 신입생은 중등 3학년 성적증명서)세목별 과세 증명서보호자 전/월세 계약서(해당자만 제출)국민기초수급자 또는 차상위 계층 증명등 기타 심사에 필요한 증빙서류 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2024-01-15","2024-02-16"
"14","동해시민장학회","장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","600000원","2023년 동해시 관내 고등학생 3학년 졸업자(검정고시 합격자 포함)동해시 소재 관내 6개 고교 소속이면서 2023년 졸업예정자","공고일 현재 동해시에 2년 이상 주소를 두고 있는 시민의 자녀 중 고등학교 재학생","휴대폰 본인인증 후 학생 본인이 장학 재단 홈페이지에서 직접 신청","총 801명","해당없음","학교장이 추천하는 자","해당없음","http://www.dh.go.kr","2023-01-16","2023-02-28"
"15","동해시민장학회","예·체능 특기생","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","700000원","지역거주요건을 충족하는 고등학교 재학생으로 최근 1년 이내 도단위 이상 대회·경연 등 입상자","공고일 현재 동해시에 2년 이상 주소를 두고 있는 시민의 자녀","학교별 배정인원 범위 내에서 학교장이 추천함 ( * 개별신청 불가능)","77명","해당없음","학교장 추천 필요"," * 제출서류 없음","http://www.dh.go.kr","2022-01-26","2022-02-11"
"16","신용회복위원회","새희망힐링펀드 장학사업","관계부처","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음"," * 저소득 가정의 고등학생기초생활수급자 차상위계층","500000원","저소득 가정의 고등학생으로 신용회복위원회 개인채무 조정 이용자 및 이용자의 자녀이거나 한국아동복지협회 아동양육시설 거주자","해당없음","신청접수 > 1차심사(적격여부 점검) > 2차심사 > 최종선정","100명"," * 해당 기관으로 문의","신용회복위원회의 추천을 받은 자한국아동복지협회의 추천을 받은 자","지원 신청서자기소개서개인정보 수집이용 동의서기관추천서가족관계증명서 또는 주민등록등본재학증명서기타 해당 서류 * 자세한 사항은 첨부파일 및 기관 홈페이지 참조","https://www.crrs.or.kr","2023-04-17","2023-06-23"
"17","횡성인재육성장학회","성적우수부문","지자체","장학금","성적우수","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","신입생: 내신 성적 통지표상 석차백분율 5% 이내인 자재학생:  전년도 이수과목 중 과목별 1등급이 학기별로 4과목 이상인 자 또는 직전 두 학기 내신평균이 2등급 미만인 자  * 특성화고성취도 5단계(A-B-C-D-E) 성적 산출 학교의 경우 '보통교과 전문교과Ⅰ 전문교과Ⅱ' 전년도 이수 과목 교과성적 A가 전체 90% 이상인 자 * 자세한 사항은 첨부파일 참조"," * 희망장학저소득층(기초생활수급권자 또는 차상위계층취약계층(한부모 조부모 다문화 가정) : 부양의무자의 합산 월 소득이 기준중위소득 52% 이하","500000원","신입생 : 면단위 중학교 졸업자는 학교장이 1명 추천 가능 * 자세한 사항은 첨부파일 참고","신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자","해당없음","일반주민자녀 : 24명희망장학 : 저소득 4명 취약계층 4명","2024 횡성인재육성장학회 장학금(향토장학금 예체능미래인재장학금) 수혜자 중복신청 불가새마을지도자 의용소방대 장학금 대상자 중복신청 불가 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","학교장 추천 ","장학금 지원신청서개인정보동의서자기 소개서주민등록등본 또는 초본학교장추천서(해당자)성적증명서수급자증명서 / 재산세납부증명서 / 근로수득원천징수영수증 * 자세한 사항은 첨부파일 참고","http://www.hssf.or.kr/","2024-02-13","2024-02-26"
"18","횡성인재육성장학회","예능특기부문","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음"," * 희망저소득층 (기초생활수급권자 또는 차상위계층취약계층 (장애가정 한부모 조부모 다문화 가정) : 부양의무자의 합산 월 소득이 기준중위소득 52% 이하 장애가족 자녀","500000원","최근 1년 이내 도교육감 주최 및 중앙단위(전국) 3위 이내 또는 도 단위 1위의 입상 경력이 있는 자예고 입학 또는 재학 학생","신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자","해당없음","일반 : 7명희망 : 3명 * 중·고등 포함","2024 횡성인재육성장학회 장학금(향토장학금 예체능미래인재장학금) 수혜자 중복신청 불가새마을지도자 의용소방대 장학금 대상자 중복신청 불가 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","학교장 추천 또는 읍·면장 추천 * 자세한 사항은 첨부파일 참고 ","지원신청서개인정보동의서자기소개서주민등록등본 또는 초본상장사본 또는 경기실적증명서수급자증명서 / 장애등급증명서 / 재산세 납부증명서 / 근로소득원천징수영수증  * 자세한 사항은 첨부파일 참고","http://www.hssf.or.kr/","2024-02-13","2024-02-26"
"19","횡성인재육성장학회","희망장학부문","지자체","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","저소득층 주민자녀 : 기초생활수급권자 또는 차상위계층의 고등학생·대학생 자녀저소득 취약계층 주민자녀 : 부양의무자의 합산 월 소득이 기준중위소득 52%이하SOS희망장학 : 갑작스러운 경제적 어려움이 있는 위기가정의 자녀","저소득주민자녀/취약계층 : 500000원SOS부문: 1000000원","해당없음","신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자","해당없음","성적우수 : 8명예능특기 : 6명체육특기 : 6명SOS부문 : 14명 (중·고 포함)","농업인자녀학자금 다자녀학자금 대상자는 중복신청 불가새마을지도자 의용소방대 장학금 대상자는 중복신청 불가","저소득 취약계층 주민자녀 : 읍·면장 추천SOS희망장학 : 학교장 추천 "," * 저소득주민자녀/취약계층 부문 신입생장학금 지원신청서자기소개서주민등록표성적증명서수급자 증명서개인정보 활용 동의서 * 저소득주민자녀/취약계층 부문 재학생장학금 지원신청서자기소개서주민등록표직전 두학기 성적증명서수급자 증명서개인정보 활용 동의서 ","http://www.hssf.or.kr/","2023-02-15","2023-02-28"
"20","한국노총장학문화재단","장학생","민간(기업)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","해당없음","1000000원 ","노총산하 조합원 및 일반 근로자 중 직업병으로 인하여 재활교육을 받는학생근로청소년으로서 야간 정규학교에 재학중인자와 순직조합원 및 근로자의 유자녀조합원 및 일반 근로자와 그 자녀 형제 자매(조합원 및 그 형제 자매중 체육특기자로서 시/도 단위이상의 체육대회에서 입상한 학생)저소득 비정규직 근로자 자녀","해당없음","해당없음","해당없음","해당없음","소속학교장회원조합위원장 추천관련단체 대표자 추천","해당없음","http://jh.inochong.org/","2023-04-01","2023-04-28"
"21","순천시인재육성장학회","성적우수장학금","지자체","장학금","지역연고","마이스터고/일반고","1학년/2학년/3학년","직전학기 성적이 환산평가 점수가 6.0(10만점) 이상","해당없음","특성화고/일반계고 : 1000000원방송통신고등학생 : 700000원","순천시 관내 소재 학교의 재학생","공고일 현재 보호자 또는 학생 본인이 순천시에 주민등록을 두고 6월 이상 계속 거주하고 있는 고등학생","성적 500 + 소득 200 (700점 만점)"," * 총 28명특성화고 : 10명일반계고 : 17명방송통신고등학생 : 1명","1가구 2명 이상 지급 불가 * 자세한 사항은 첨부파일 참조","해당없음","순천시인재육성장학금신청서개인정보 수집·이용 및 제공·조회 동의서주민등록 등본가족관계증명서재학증명서통장사본직전학기 성적증명서건강보험료 납부 확인서건강보험 자격확인서장학금 수혜 확인서 * 자세한 사항은 첨부파일 참고","http://www.scij.kr/","2023-10-04","2023-10-24"
"22","장흥군인재육성장학회","저소득고등학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","신입생 : 입학성적이 학년 전체인원이 100분의 50이내인 자재학생 : 2022학년도 2학기 성적이 학년 전체인원의 100분의 50이내인 자","「국민기초생활보장법」 상 수급자","500000원 * 생활비 지원 성격","군내에 거주하고 주소를 둔 「국민기초생활보장법」 상 수급자 중 고등학교 신입생 또는 재학생","신청일 현재 장흥군에 등록기준지 또는 1년 이상 계속해서 주민등록을 두고 군내 초·중 중 1개교 이상을 졸업한 자","해당없음","10명","해당없음","해당없음","장학금지원 추천 신청서읍·면장 확인서주민등록등본가족관계증명서재학증명서졸업증명서장학금지급통장사본국민기초생활수급대상자 증명서 등(읍면장 확인/추천서로 대체) * 자세한 사항은 첨부파일참고","http://www.jangheung.go.kr","2023-02-15","2023-03-07"
"23","강원랜드사회공헌위원회","하이원SOS장학","민간(기업)","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","해당없음","1000000 ~ 3000000원","강원 폐광지역(7개시/군) 소재 중/고등학교 재학생모집 시작일 기준 1년 이내 발생한 갑작스러운 가정 경제 위기상황으로 학업에 심각한 어려움을 겪고 있는 학생 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","해당없음","중 고 대학생 합하여 00명","2023년도 강원랜드 멘토링 장학생(나눔/키움) 중복지원 불가SOS 선발 이력이 있더라도 중복 지원 가능(동일 사유 불가)1가구당 연 1회 제한 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","기관 추천 : 교육지원청 학교 시.군청 주민자치센터 청소년센터 복지관","장학생추천서장학금신청서개인정보동의서가족관계증명서경제상황 증빙서류위기상황 증빙서류 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://csr.high1.com","2023-09-19","2024-03-31"
"24","수도권매립지주민지원협의체","우수장학생","민간(기타)","장학금","성적우수","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","2023년도 12학기 성적이 1~2등급 80% 이상인 자","해당없음","1000000원","고등학생 (신입생 제외)","수도권매립지 주변영향지역에 공고일 현재 2년 이상 거주한 주민 또는 주민의 자녀","해당없음","해당없음","23년도 검단장학재단 및 24년도 드림파크 장학재단 장학금 수여자 제외동일 세대 지원자 2인 이상일 경우 1인만 지급 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생신청서재학증명서성적증명서개인정보 수집 등 동의서주민등록 등초본 각 1통씩장학금 지급 통장사본 * 자세한 내용은 첨부파일 참고","https://www.slc.or.kr/","2024-01-15","2024-01-26"
"25","재단법인 대정장학재단","장학생","민간(기타)","장학금","기타","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","고등학교 1학년 성적 평균점수 75점 이상","가족합산 건강보험료 월평균 납입액이 10만원 이하인 자(2022년도 기준)","연간 3000000원 (생활비)심사후 고교 졸업시까지 지급","2023년도 현재 고등학교 2학년 재학생(한 학교당 지원자를 1명으로 제한함 )2023년도 제2학기 휴학예정자 지원 불가","해당없음","서류심사","4명","해당없음","담임 선생님 추천서","장학생 선발 지원서자기소개서고등학교 생활기록부가족관계증명원보호자의 건강보험료 납부확인서(2022년도)고등학교 재학 중 사회봉사활동 확인서담임 선생님 추천서","www.daejungaf.com/","2023-07-24","2023-08-11"
"26","재단법인구례장학회","FFK대회 입상자","지자체","장학금","특기자","과학고","1학년/2학년/3학년/제한없음","해당없음","해당없음","금: 1500000원은: 1000000원동: 700000원","전남자연과학고등학교 재학생2023년 한국영농학생 전진대회(FFK)수상 학생을 학교장이 추천","지원대상자 본인이나 그 보호자가 신청일 현재 구례군에 계속해서 주민등록을 두고 2년 이상 거주한 자","해당없음","15명","등록금 범위 초과 불가실 등록금 납부 금액이 최저 지급금액(20만원)보다 적을 경우정규학제 기간을 초과하여 재학 중인 학생중복지원 대상자 * 자세한 사항은 첨부파일 참고","전남자연과학고등학교장 추천","인재육성장학금 신청서주민등록등본개인정보 수집·이용 및 제공·조회 동의서학생 본인명의의 통장사본대회입상 관련 증빙서추천공문* 자세한 사항은 첨부파일 참고","https://www.gurye.go.kr","2023-08-29","2023-09-15"
"27","당진화력장학회","성적장학금","민간(기업)","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","1학기 학기말 성적 등","해당없음","성적 상위 30% 각 1000000원성적 상위 50% 각 800000원성적 하위 50% 각 600000원","해당년도 재학생 중 해당 학교장의 추천을 받은 학생","발전소 주변지역(석문면 전지역 및 우정읍 국화도리 안산시 풍도동)에 5년 이상 실거주하는 주민 또는 자녀","해당없음","해당없음","「국가공무원 수당 등에 관한 규정」 또는 「지방공무원 수당 등에 관한 규정」 제 11조의 규정에 따라 자녀의 학비보조수당을 지급받고 있는 공무원의 자녀 및 한국동서발전(주)의 직원 및 그 자녀는 장학생 선발대상에서 제외","학교장 추천"," * 자세한 사항은 홈페이지 공지사항 참고바랍니다.","http://www.ewp.co.kr/kor/main/main.asp ","2023-09-04","2023-09-22"
"28","당진화력장학회","복지장학금","민간(기업)","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1000000원","신청일 현재 기준 다문화가정 다나져가정(3자녀 이상) 기초수급자 차상위계층 장애(1~4등급)학생 한부모가정 새터민가정 기타(B학점 미만 대학생 중 각 마을이장이 가정형편이 어렵다고 인정한 학생) 어느 하나에 해당하는 재학생 중 해당 학교장의 추천을 받은 학생","발전소 주변지역(석문면 전지역 및 우정읍 국화도리 안산시 풍도동)에 5년 이상 실거주하는 주민 또는 자녀","해당없음","해당없음","「국가공무원 수당 등에 관한 규정」 또는 「지방공무원 수당 등에 관한 규정」 제 11조의 규정에 따라 자녀의 학비보조수당을 지급받고 있는 공무원의 자녀 및 한국동서발전(주)의 직원 및 그 자녀는 장학생 선발대상에서 제외","학교장 추천"," * 자세한 사항은 홈페이지 공지사항 참고바랍니다.","http://www.ewp.co.kr/kor/main/main.asp ","2023-09-04","2023-09-22"
"29","당진화력장학회","특기장학금","민간(기업)","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1000000원","신청일 현재 기준 최근 1년 이내 예·체능 분야에서 교육청 및 시/군단위 이상의 대회에서 입상한 학생 중 해당 학교장의 추천을 받은 학생","발전소 주변지역(석문면 전지역 및 우정읍 국화도리 안산시 풍도동)에 5년 이상 실거주하는 주민 또는 자녀","해당없음","해당없음","「국가공무원 수당 등에 관한 규정」 또는 「지방공무원 수당 등에 관한 규정」 제 11조의 규정에 따라 자녀의 학비보조수당을 지급받고 있는 공무원의 자녀 및 한국동서발전(주)의 직원 및 그 자녀는 장학생 선발대상에서 제외","학교장의 추천"," * 자세한 사항은 홈페이지 공지사항 참고바랍니다.","http://www.ewp.co.kr/kor/main/main.asp ","2023-09-04","2023-09-22"
